participant,condition,run,trial,onset_first_choice,onset_second_choice,onset_feedback,duration_first_choice,duration_second_choice,duration_trial
31,abstract,1,27,444.4410000000007,448.9410000000007,452.6779999999998,0.4979999999995926,0.7359999999989668,9.737999999999372
31,abstract,1,28,460.96899999999914,465.42100000000033,469.241,0.4500000000007276,0.8189999999995052,9.773000000001046
31,abstract,1,29,477.4089999999997,481.84900000000016,485.54500000000013,0.43800000000010186,0.694999999999709,9.637000000000628
31,abstract,1,30,494.8220000000002,499.5550000000003,503.2520000000004,0.7309999999997672,0.6959999999999127,9.931000000000497
31,abstract,1,31,511.1900000000005,516.0200000000004,519.8359999999993,0.8279999999995198,0.8139999999984866,10.146999999999023
31,abstract,1,32,527.0849999999991,531.6710000000003,535.5290000000006,0.5840000000007421,0.8580000000001746,9.945000000001528
31,abstract,1,33,544.628999999999,549.2070000000003,553.146999999999,0.577000000001135,0.9390000000003056,10.019000000000233
31,abstract,1,34,560.7309999999999,565.4920000000002,569.3279999999995,0.7590000000000146,0.8349999999991269,10.097999999999956
31,abstract,1,35,577.3549999999996,581.7829999999993,585.4670000000007,0.4259999999994761,0.6830000000009022,9.612999999999372
31,abstract,1,36,595.3209999999998,600.0810000000001,603.8590000000004,0.7590000000000146,0.7770000000000437,10.03900000000067
31,abstract,1,37,614.1149999999998,618.7960000000003,622.5380000000006,0.680000000000291,0.7409999999999854,9.924000000000888
31,abstract,1,38,630.0120000000006,634.6309999999994,638.2530000000006,0.6169999999983702,0.6210000000010041,9.741999999998368
31,abstract,1,39,645.2610000000004,649.8590000000004,653.6689999999999,0.5969999999997526,0.808999999999287,9.90899999999965
31,abstract,1,40,660.9959999999992,665.5540000000002,669.3199999999998,0.5560000000004948,0.7649999999994179,9.825000000000726
31,abstract,1,41,677.0059999999994,681.7729999999992,685.7999999999993,0.7640000000010332,1.02599999999984,10.295000000000073
31,abstract,1,42,692.5570000000008,697.2330000000003,701.3799999999992,0.6739999999990687,1.1459999999988213,10.323999999998703
31,abstract,1,43,708.1100000000006,712.6790000000002,716.4930000000003,0.565999999998894,0.8130000000001019,9.884000000000016
31,abstract,1,44,724.2729999999992,729.1859999999997,733.3829999999997,0.9110000000000582,1.195999999999913,10.610000000000582
31,abstract,1,45,739.9130000000005,744.5169999999997,748.3839999999999,0.6019999999989523,0.8659999999999854,9.971999999999753
31,abstract,1,46,755.2469999999994,759.8410000000003,763.5679999999992,0.592000000000553,0.7259999999987485,9.822000000000116
31,abstract,1,47,774.4969999999994,779.0630000000001,782.9580000000004,0.5640000000003056,0.8940000000002328,9.96100000000115
31,abstract,1,48,792.0069999999997,796.6180000000003,799.9779999999993,0.6090000000003783,0.35899999999855936,9.471999999999753
31,abstract,1,49,807.8019999999997,812.4259999999996,816.1540000000005,0.6219999999993888,0.7260000000005675,9.853000000000977
31,abstract,2,50,0.018000000000029104,5.292999999999665,8.970999999999549,1.2729999999992287,0.6769999999996799,10.453999999999725
31,abstract,2,51,16.095999999999552,20.860000000000586,24.55099999999948,0.7620000000006257,0.6899999999986903,9.956000000000133
31,abstract,2,52,32.09799999999996,36.606999999999964,40.67699999999968,0.5069999999996071,1.0689999999995052,10.079999999999927
31,abstract,2,53,46.54700000000048,51.070999999999906,55.14799999999923,0.521999999999025,1.074000000000524,10.101999999998954
31,abstract,2,54,66.08499999999913,70.53700000000026,74.24300000000041,0.4510000000009313,0.7049999999999272,9.659000000001472
31,abstract,2,55,82.52599999999985,87.10499999999956,91.3760000000002,0.5769999999993161,1.2700000000004366,10.35100000000057
31,abstract,2,56,100.09599999999956,104.98699999999916,109.10299999999916,0.8890000000010332,1.1159999999999854,10.50799999999981
31,abstract,2,57,117.60599999999977,122.27299999999924,125.96199999999952,0.6649999999990541,0.6880000000001019,9.856999999999973
31,abstract,2,58,134.13299999999978,138.57200000000014,142.40400000000045,0.4359999999996944,0.831000000000131,9.771999999999023
31,abstract,2,59,152.0249999999996,156.5669999999991,160.4290000000001,0.5400000000008731,0.8610000000007858,9.905000000000657
31,abstract,2,60,169.4390000000003,174.01399999999919,177.8359999999993,0.5729999999985012,0.8199999999997092,9.897999999999227
31,abstract,2,61,184.991,189.5550000000003,193.25,0.5619999999998981,0.6939999999995052,9.760000000000217
31,abstract,2,62,201.15200000000004,205.6190000000006,209.39899999999943,0.4650000000001455,0.7789999999986321,9.746999999999387
31,abstract,2,63,216.9459999999999,221.46799999999888,225.3209999999999,0.5210000000006403,0.8520000000007713,9.876000000000202
31,abstract,2,64,232.4969999999994,237.07599999999908,240.8140000000003,0.577000000001135,0.7360000000007858,9.818000000001119
31,abstract,2,65,249.1229999999996,253.6729999999989,257.70800000000054,0.5480000000006839,1.0340000000014695,10.08599999999933
31,abstract,2,66,267.0869999999996,271.65300000000025,275.4959999999992,0.5640000000003056,0.841999999998734,9.909999999999853
31,abstract,2,67,282.6909999999989,287.3220000000001,291.3719999999994,0.6290000000008149,1.047999999998865,10.182000000000697
31,abstract,2,68,298.0769999999993,302.6090000000004,306.4509999999991,0.5290000000004511,0.8409999999985303,9.875
31,abstract,2,69,313.4409999999989,317.9940000000006,321.4740000000002,0.5510000000012951,0.4799999999995634,9.534000000001472
31,abstract,2,70,330.11399999999963,334.67000000000013,338.2919999999994,0.5540000000000873,0.6219999999993888,9.679000000000089
31,abstract,2,71,346.75799999999987,351.3719999999994,355.26100000000037,0.6119999999991705,0.8880000000008295,10.003999999998996
31,abstract,2,72,362.3909999999996,367.04199999999946,371.0239999999994,0.6489999999994325,0.9809999999997672,10.134000000000016
31,abstract,2,73,378.92299999999886,383.6090000000004,387.2440000000006,0.684000000001106,0.6340000000000146,9.822000000000116
31,abstract,2,74,395.81899999999945,400.4120000000002,404.09900000000016,0.5910000000003492,0.6859999999996944,9.78100000000086
31,abstract,2,75,411.92000000000013,416.4099999999999,420.67900000000014,0.4879999999993743,1.268000000000029,10.260000000000217
